date,timestamp,open,high,low,close
2023-08-26 02:01:00,1692990060000,26056.06,26061.6,26030.91,26030.91
2023-08-26 02:02:00,1692990120000,26030.92,26030.92,26017.02,26025.99
2023-08-26 02:03:00,1692990180000,26025.99,26031.99,26025.74,26031.87
2023-08-26 02:04:00,1692990240000,26031.86,26043.99,26031.86,26043.98
2023-08-26 02:05:00,1692990300000,26043.99,26061.55,26043.98,26046.06
2023-08-26 02:06:00,1692990360000,26046.05,26046.06,26040.0,26040.27
2023-08-26 02:07:00,1692990420000,26040.27,26042.0,26032.87,26032.88
2023-08-26 02:08:00,1692990480000,26032.87,26040.0,26032.87,26040.0
2023-08-26 02:09:00,1692990540000,26039.99,26042.68,26035.89,26035.89
2023-08-26 02:10:00,1692990600000,26035.89,26035.9,26032.0,26034.01
2023-08-26 02:11:00,1692990660000,26034.01,26038.0,26034.0,26038.0
2023-08-26 02:12:00,1692990720000,26037.99,26038.0,26030.49,26030.49
2023-08-26 02:13:00,1692990780000,26030.5,26040.9,26030.49,26040.89
2023-08-26 02:14:00,1692990840000,26040.9,26045.79,26030.0,26030.57
2023-08-26 02:15:00,1692990900000,26030.56,26042.0,26030.56,26042.0
2023-08-26 02:16:00,1692990960000,26041.99,26047.67,26038.0,26047.67
2023-08-26 02:17:00,1692991020000,26047.66,26047.67,26031.05,26031.06
2023-08-26 02:18:00,1692991080000,26031.05,26034.09,26030.38,26034.09
2023-08-26 02:19:00,1692991140000,26034.08,26034.09,26031.37,26033.99
2023-08-26 02:20:00,1692991200000,26034.0,26038.4,26033.0,26038.4
2023-08-26 02:21:00,1692991260000,26038.39,26038.4,26029.59,26029.6
2023-08-26 02:22:00,1692991320000,26029.6,26036.0,26029.59,26036.0
2023-08-26 02:23:00,1692991380000,26035.99,26040.37,26035.99,26040.37
2023-08-26 02:24:00,1692991440000,26040.37,26040.37,26026.0,26028.68
2023-08-26 02:25:00,1692991500000,26028.69,26028.69,26018.65,26018.66
2023-08-26 02:26:00,1692991560000,26018.65,26027.98,26018.65,26027.97
2023-08-26 02:27:00,1692991620000,26027.97,26028.69,26024.0,26024.01
2023-08-26 02:28:00,1692991680000,26024.0,26031.19,26024.0,26031.19
2023-08-26 02:29:00,1692991740000,26031.18,26031.19,26025.0,26025.0
2023-08-26 02:30:00,1692991800000,26025.01,26029.98,26022.68,26022.69
2023-08-26 02:31:00,1692991860000,26022.68,26025.43,26018.0,26018.01
2023-08-26 02:32:00,1692991920000,26018.0,26021.94,26004.94,26004.95
2023-08-26 02:33:00,1692991980000,26004.95,26010.0,26002.01,26008.0
2023-08-26 02:34:00,1692992040000,26008.01,26008.01,25990.01,25990.02
2023-08-26 02:35:00,1692992100000,25990.01,25991.99,25978.94,25991.99
2023-08-26 02:36:00,1692992160000,25991.98,25991.99,25975.0,25975.0
2023-08-26 02:37:00,1692992220000,25975.0,25975.01,25961.25,25962.01
2023-08-26 02:38:00,1692992280000,25962.0,25965.53,25956.16,25965.53
2023-08-26 02:39:00,1692992340000,25965.52,25967.16,25959.97,25959.98
2023-08-26 02:40:00,1692992400000,25959.97,25970.0,25957.19,25969.99
2023-08-26 02:41:00,1692992460000,25969.99,25970.0,25960.14,25966.58
2023-08-26 02:42:00,1692992520000,25966.59,25969.31,25966.58,25969.31
2023-08-26 02:43:00,1692992580000,25969.3,25978.07,25969.3,25978.07
2023-08-26 02:44:00,1692992640000,25978.06,25978.59,25978.06,25978.58
2023-08-26 02:45:00,1692992700000,25978.59,25987.99,25965.0,25965.01
2023-08-26 02:46:00,1692992760000,25965.01,25990.0,25965.0,25990.0
2023-08-26 02:47:00,1692992820000,25990.0,25995.23,25986.0,25986.01
2023-08-26 02:48:00,1692992880000,25986.01,25994.0,25984.0,25987.26
2023-08-26 02:49:00,1692992940000,25987.27,25987.27,25966.23,25966.24
2023-08-26 02:50:00,1692993000000,25966.23,25966.24,25952.0,25952.01
2023-08-26 02:51:00,1692993060000,25952.0,25957.99,25950.01,25953.12
2023-08-26 02:52:00,1692993120000,25953.11,25962.0,25953.11,25958.11
2023-08-26 02:53:00,1692993180000,25958.12,25958.12,25955.45,25956.0
2023-08-26 02:54:00,1692993240000,25956.0,25960.7,25950.0,25960.69
2023-08-26 02:55:00,1692993300000,25960.7,25971.57,25960.69,25970.58
2023-08-26 02:56:00,1692993360000,25970.58,25978.0,25964.73,25977.99
2023-08-26 02:57:00,1692993420000,25977.99,25979.89,25977.99,25979.89
2023-08-26 02:58:00,1692993480000,25979.88,25979.89,25972.0,25972.0
2023-08-26 02:59:00,1692993540000,25972.01,25979.88,25972.0,25972.36
2023-08-26 03:00:00,1692993600000,25972.37,25972.37,25962.0,25963.01
2023-08-26 03:01:00,1692993660000,25963.0,25963.01,25957.4,25961.22
2023-08-26 03:02:00,1692993720000,25961.22,25972.37,25961.22,25972.36
2023-08-26 03:03:00,1692993780000,25972.37,25981.99,25972.36,25981.99
2023-08-26 03:04:00,1692993840000,25981.99,25988.74,25981.98,25982.94
2023-08-26 03:05:00,1692993900000,25982.93,25990.0,25982.0,25990.0
2023-08-26 03:06:00,1692993960000,25989.99,25990.0,25989.99,25990.0
2023-08-26 03:07:00,1692994020000,25990.0,26001.78,25989.99,26001.78
